granularity,trained_language,f1_all,f1_en,f1_nl,f1_it,f1_multilingual,f1_EN-NL,f1_EN-IT,f1_NL-IT,mae_all,mae_en,mae_nl,mae_it,mae_multilingual,mae_EN-NL,mae_EN-IT,mae_NL-IT,modeltype
binary,EN,0.7798984890981142,,,,,,,,0.21189979123173278,,,,,,,,generative
binary,EN,,,,,,,,,,,,,,,,,generative
binary,EN,,,,,,,,,,,,,,,,,generative
binary,EN,,0.7798984890981142,,,,,,,,0.21189979123173278,,,,,,,generative
binary,NL,0.7555483044616143,,,,,,,,0.2398921832884097,,,,,,,,generative
binary,NL,,,,,,,,,,,,,,,,,generative
binary,NL,,,0.7555483044616143,,,,,,,,0.2398921832884097,,,,,,generative
binary,NL,,,,,,,,,,,,,,,,,generative
binary,IT,0.7140071303860294,,,,,,,,0.27408256880733944,,,,,,,,generative
binary,IT,,,,0.7140071303860294,,,,,,,,0.27408256880733944,,,,,generative
binary,IT,,,,,,,,,,,,,,,,,generative
binary,IT,,,,,,,,,,,,,,,,,generative
binary,multilingual,0.7270024205263972,,,,,,,,0.25178389398572887,,,,,,,,generative
binary,multilingual,,,,0.71931062509236,,,,,,,,0.25,,,,,generative
binary,multilingual,,,0.7288382055196061,,,,,,,,0.25426774483378256,,,,,,generative
binary,multilingual,,0.7300103229157952,,,,,,,,0.25052192066805845,,,,,,,generative
binary,EN-NL,0.7635442533019846,,,,,,,,0.22501207146306132,,,,,,,,generative
binary,EN-NL,,,,,,,,,,,,,,,,,generative
binary,EN-NL,,,0.7565999255449004,,,,,,,,0.23180592991913745,,,,,,generative
binary,EN-NL,,0.7716338540570364,,,,,,,,0.21711899791231734,,,,,,,generative
binary,EN-IT,0.7680777116962346,,,,,,,,0.22513661202185792,,,,,,,,generative
binary,EN-IT,,,,0.7646312714248384,,,,,,,,0.22591743119266056,,,,,generative
binary,EN-IT,,,,,,,,,,,,,,,,,generative
binary,EN-IT,,0.7707059871186759,,,,,,,,0.2244258872651357,,,,,,,generative
binary,NL-IT,0.7494951901750159,,,,,,,,0.24130982367758186,,,,,,,,generative
binary,NL-IT,,,,0.7298157830899223,,,,,,,,0.24770642201834864,,,,,generative
binary,NL-IT,,,0.7601758514967224,,,,,,,,0.2362982929020665,,,,,,generative
binary,NL-IT,,,,,,,,,,,,,,,,,generative
5-grained,EN,0.7892597840413029,,,,,,,,0.9217118997912317,,,,,,,,generative
5-grained,EN,,,,,,,,,,,,,,,,,generative
5-grained,EN,,,,,,,,,,,,,,,,,generative
5-grained,EN,,0.7892597840413029,,,,,,,,0.9217118997912317,,,,,,,generative
5-grained,NL,0.738214620324753,,,,,,,,1.0727762803234502,,,,,,,,generative
5-grained,NL,,,,,,,,,,,,,,,,,generative
5-grained,NL,,,0.738214620324753,,,,,,,,1.0727762803234502,,,,,,generative
5-grained,NL,,,,,,,,,,,,,,,,,generative
5-grained,IT,0.7162757462432158,,,,,,,,1.150229357798165,,,,,,,,generative
5-grained,IT,,,,0.7162757462432158,,,,,,,,1.150229357798165,,,,,generative
5-grained,IT,,,,,,,,,,,,,,,,,generative
5-grained,IT,,,,,,,,,,,,,,,,,generative
5-grained,multilingual,0.7142065850388057,,,,,,,,1.0822290180088345,,,,,,,,generative
5-grained,multilingual,,,,0.6940770395880006,,,,,,,,1.0286697247706422,,,,,generative
5-grained,multilingual,,,0.69603165321703,,,,,,,,1.2048517520215634,,,,,,generative
5-grained,multilingual,,0.749295713652128,,,,,,,,0.988517745302714,,,,,,,generative
5-grained,EN-NL,0.7434261370580088,,,,,,,,1.0048285852245291,,,,,,,,generative
5-grained,EN-NL,,,,,,,,,,,,,,,,,generative
5-grained,EN-NL,,,0.726535809168379,,,,,,,,1.0979335130278527,,,,,,generative
5-grained,EN-NL,,0.7630590875556817,,,,,,,,0.8966597077244259,,,,,,,generative
5-grained,EN-IT,0.6883689296544754,,,,,,,,1.0786885245901638,,,,,,,,generative
5-grained,EN-IT,,,,0.6506753117022658,,,,,,,,1.1181192660550459,,,,,generative
5-grained,EN-IT,,,,,,,,,,,,,,,,,generative
5-grained,EN-IT,,0.715980449078249,,,,,,,,1.0427974947807934,,,,,,,generative
5-grained,NL-IT,0.662781980647285,,,,,,,,1.181360201511335,,,,,,,,generative
5-grained,NL-IT,,,,0.6506375471234404,,,,,,,,1.135321100917431,,,,,generative
5-grained,NL-IT,,,0.6696048184811715,,,,,,,,1.2174303683737646,,,,,,generative
5-grained,NL-IT,,,,,,,,,,,,,,,,,generative
7-grained,EN,0.7582141940093555,,,,,,,,1.5219206680584552,,,,,,,,generative
7-grained,EN,,,,,,,,,,,,,,,,,generative
7-grained,EN,,,,,,,,,,,,,,,,,generative
7-grained,EN,,0.7582141940093555,,,,,,,,1.5219206680584552,,,,,,,generative
7-grained,NL,0.6935043588374952,,,,,,,,1.876010781671159,,,,,,,,generative
7-grained,NL,,,,,,,,,,,,,,,,,generative
7-grained,NL,,,0.6935043588374952,,,,,,,,1.876010781671159,,,,,,generative
7-grained,NL,,,,,,,,,,,,,,,,,generative
7-grained,IT,0.5850888542221232,,,,,,,,2.033256880733945,,,,,,,,generative
7-grained,IT,,,,0.5850888542221232,,,,,,,,2.033256880733945,,,,,generative
7-grained,IT,,,,,,,,,,,,,,,,,generative
7-grained,IT,,,,,,,,,,,,,,,,,generative
7-grained,multilingual,0.6938442642570526,,,,,,,,1.7913693510023785,,,,,,,,generative
7-grained,multilingual,,,,0.6840660794184826,,,,,,,,1.6169724770642202,,,,,generative
7-grained,multilingual,,,0.6710238506127136,,,,,,,,2.030548068283917,,,,,,generative
7-grained,multilingual,,0.7294511621038974,,,,,,,,1.6722338204592901,,,,,,,generative
7-grained,EN-NL,0.6868544242408726,,,,,,,,1.631578947368421,,,,,,,,generative
7-grained,EN-NL,,,,,,,,,,,,,,,,,generative
7-grained,EN-NL,,,0.6732143675878496,,,,,,,,1.7061994609164421,,,,,,generative
7-grained,EN-NL,,0.7028534911457105,,,,,,,,1.5448851774530272,,,,,,,generative
7-grained,EN-IT,0.6954570369857062,,,,,,,,1.6557377049180328,,,,,,,,generative
7-grained,EN-IT,,,,0.6627623055628961,,,,,,,,1.6043577981651376,,,,,generative
7-grained,EN-IT,,,,,,,,,,,,,,,,,generative
7-grained,EN-IT,,0.7271686396413122,,,,,,,,1.7025052192066805,,,,,,,generative
7-grained,NL-IT,0.6440703633105028,,,,,,,,2.1939546599496222,,,,,,,,generative
7-grained,NL-IT,,,,0.6874187422184737,,,,,,,,1.8325688073394495,,,,,generative
7-grained,NL-IT,,,0.590657697302774,,,,,,,,2.477088948787062,,,,,,generative
7-grained,NL-IT,,,,,,,,,,,,,,,,,generative
