modelname,language,task,granularity,seed,f1,accuracy,mae,r2,f1_EN,accuracy_EN,mae_EN,r2_EN,f1_NL,accuracy_NL,mae_NL,r2_NL,f1_IT,accuracy_IT,mae_IT,r2_IT
mdeberta-v3-base,IT,regression,5,42,0.7472555355477898,0.7626146788990825,0.9853425984262326,0.1764998264098658,,,,,,,,,0.7472555355477898,0.7626146788990825,0.9853425984262326,0.1764998264098658
xlm-roberta-base,IT,regression,5,42,0.7258340885321702,0.7362385321100917,1.0674896978200712,0.0633169841099221,,,,,,,,,0.7258340885321702,0.7362385321100917,1.0674896978200712,0.0633169841099221
bert-base-multilingual-cased,IT,regression,5,42,0.6985747312401103,0.7087155963302753,1.120762343379325,0.0384966495510228,,,,,,,,,0.6985747312401103,0.7087155963302753,1.120762343379325,0.0384966495510228
twitter-xlm-roberta-base,IT,regression,5,42,0.755121129377398,0.7672018348623854,0.9890328289463276,0.1752078569989186,,,,,,,,,0.755121129377398,0.7672018348623854,0.9890328289463276,0.1752078569989186
umberto-wikipedia-uncased-v1,IT,regression,5,42,0.7158656458474231,0.7442660550458715,1.146207580106854,0.1259570059255592,,,,,,,,,0.7158656458474231,0.7442660550458715,1.146207580106854,0.1259570059255592
gilberto-uncased-from-camembert,IT,regression,5,42,0.741671861606795,0.75,1.0048733399406948,0.1693829077643753,,,,,,,,,0.741671861606795,0.75,1.0048733399406948,0.1693829077643753
mdeberta-v3-base,IT,regression,5,69,0.7370119959607633,0.7534403669724771,1.013658896216764,0.1424994562060902,,,,,,,,,0.7370119959607633,0.7534403669724771,1.013658896216764,0.1424994562060902
xlm-roberta-base,IT,regression,5,69,0.744981342008682,0.7477064220183486,1.1386881206791266,-0.0194217909189533,,,,,,,,,0.744981342008682,0.7477064220183486,1.1386881206791266,-0.0194217909189533
bert-base-multilingual-cased,IT,regression,5,69,0.6986462747388661,0.7190366972477065,1.096317896564035,0.0783269025213695,,,,,,,,,0.6986462747388661,0.7190366972477065,1.096317896564035,0.0783269025213695
twitter-xlm-roberta-base,IT,regression,5,69,0.7458256324522413,0.7522935779816514,1.011601206231383,0.1338363924772124,,,,,,,,,0.7458256324522413,0.7522935779816514,1.011601206231383,0.1338363924772124
umberto-wikipedia-uncased-v1,IT,regression,5,69,0.5594412463592763,0.6869266055045872,1.1197871188814374,0.1743420176390989,,,,,,,,,0.5594412463592763,0.6869266055045872,1.1197871188814374,0.1743420176390989
gilberto-uncased-from-camembert,IT,regression,5,69,0.7281260855300373,0.7327981651376146,1.045429752432078,0.1043056779709816,,,,,,,,,0.7281260855300373,0.7327981651376146,1.045429752432078,0.1043056779709816
mdeberta-v3-base,IT,regression,5,7,0.7499058169484525,0.7603211009174312,1.0055612803689404,0.1471380110160198,,,,,,,,,0.7499058169484525,0.7603211009174312,1.0055612803689404,0.1471380110160198
xlm-roberta-base,IT,regression,5,7,0.7403946119793389,0.7557339449541285,1.094838843954334,0.1090857637036261,,,,,,,,,0.7403946119793389,0.7557339449541285,1.094838843954334,0.1090857637036261
bert-base-multilingual-cased,IT,regression,5,7,0.7237644862591227,0.7419724770642202,1.0503468367009057,0.074366692046158,,,,,,,,,0.7237644862591227,0.7419724770642202,1.0503468367009057,0.074366692046158
twitter-xlm-roberta-base,IT,regression,5,7,0.7471585479660068,0.7614678899082569,0.9872709802374454,0.1695064156369132,,,,,,,,,0.7471585479660068,0.7614678899082569,0.9872709802374454,0.1695064156369132
umberto-wikipedia-uncased-v1,IT,regression,5,7,0.7247352474798958,0.7431192660550459,1.1475468717034587,0.0750026102823382,,,,,,,,,0.7247352474798958,0.7431192660550459,1.1475468717034587,0.0750026102823382
gilberto-uncased-from-camembert,IT,regression,5,7,0.7321007396733304,0.7477064220183486,1.0045785954166144,0.2227507345427301,,,,,,,,,0.7321007396733304,0.7477064220183486,1.0045785954166144,0.2227507345427301
mdeberta-v3-base,IT,regression,5,666,0.7475977771387753,0.7614678899082569,1.0332514534238726,0.1623261830459674,,,,,,,,,0.7475977771387753,0.7614678899082569,1.0332514534238726,0.1623261830459674
xlm-roberta-base,IT,regression,5,666,0.7260854775570891,0.7385321100917431,1.095862879426381,0.0909511424065711,,,,,,,,,0.7260854775570891,0.7385321100917431,1.095862879426381,0.0909511424065711
bert-base-multilingual-cased,IT,regression,5,666,0.7042541669447189,0.7224770642201835,1.0881674650365911,0.0702147191685444,,,,,,,,,0.7042541669447189,0.7224770642201835,1.0881674650365911,0.0702147191685444
twitter-xlm-roberta-base,IT,regression,5,666,0.7335006671011252,0.7534403669724771,1.013457583905336,0.1850825213909986,,,,,,,,,0.7335006671011252,0.7534403669724771,1.013457583905336,0.1850825213909986
umberto-wikipedia-uncased-v1,IT,regression,5,666,0.6165876096977515,0.7052752293577982,1.1400698740628052,0.1417979671353848,,,,,,,,,0.6165876096977515,0.7052752293577982,1.1400698740628052,0.1417979671353848
gilberto-uncased-from-camembert,IT,regression,5,666,0.7404647829778424,0.7465596330275229,1.0449574093618472,0.1171905777045948,,,,,,,,,0.7404647829778424,0.7465596330275229,1.0449574093618472,0.1171905777045948
mdeberta-v3-base,IT,regression,5,420,0.7469047081400112,0.7568807339449541,0.9989177045298082,0.1505354254362589,,,,,,,,,0.7469047081400112,0.7568807339449541,0.9989177045298082,0.1505354254362589
xlm-roberta-base,IT,regression,5,420,0.7326036825360674,0.7488532110091743,1.093260791268063,0.1092694390366409,,,,,,,,,0.7326036825360674,0.7488532110091743,1.093260791268063,0.1092694390366409
bert-base-multilingual-cased,IT,regression,5,420,0.7246617780993795,0.7373853211009175,1.0772144775076689,0.0891870012534228,,,,,,,,,0.7246617780993795,0.7373853211009175,1.0772144775076689,0.0891870012534228
twitter-xlm-roberta-base,IT,regression,5,420,0.7494198250617724,0.7580275229357798,1.0062250782225126,0.1446538456003971,,,,,,,,,0.7494198250617724,0.7580275229357798,1.0062250782225126,0.1446538456003971
umberto-wikipedia-uncased-v1,IT,regression,5,420,0.7270664787273324,0.7396788990825688,1.1199043777102706,0.1125750348386878,,,,,,,,,0.7270664787273324,0.7396788990825688,1.1199043777102706,0.1125750348386878
gilberto-uncased-from-camembert,IT,regression,5,420,0.7306091659846543,0.7454128440366973,1.0353860472929195,0.1940544302436797,,,,,,,,,0.7306091659846543,0.7454128440366973,1.0353860472929195,0.1940544302436797
mdeberta-v3-base,IT,regression,5,13,0.7565866262018045,0.7637614678899083,0.9973575887398436,0.1586807286882385,,,,,,,,,0.7565866262018045,0.7637614678899083,0.9973575887398436,0.1586807286882385
xlm-roberta-base,IT,regression,5,13,0.7323174888020526,0.7545871559633027,1.0601587113715725,0.1325247078630329,,,,,,,,,0.7323174888020526,0.7545871559633027,1.0601587113715725,0.1325247078630329
bert-base-multilingual-cased,IT,regression,5,13,0.7106910308457193,0.7270642201834863,1.0960429049057752,0.0698514841908939,,,,,,,,,0.7106910308457193,0.7270642201834863,1.0960429049057752,0.0698514841908939
twitter-xlm-roberta-base,IT,regression,5,13,0.7446694899918535,0.7534403669724771,1.022856764664522,0.1311036007523587,,,,,,,,,0.7446694899918535,0.7534403669724771,1.022856764664522,0.1311036007523587
umberto-wikipedia-uncased-v1,IT,regression,5,13,0.7179592235098217,0.731651376146789,1.1539917178478716,0.0720785221902662,,,,,,,,,0.7179592235098217,0.731651376146789,1.1539917178478716,0.0720785221902662
gilberto-uncased-from-camembert,IT,regression,5,13,0.7282015832531293,0.7454128440366973,1.0471280732091903,0.1975234242484782,,,,,,,,,0.7282015832531293,0.7454128440366973,1.0471280732091903,0.1975234242484782
mdeberta-v3-base,IT,regression,7,42,0.7404936801477557,0.7419724770642202,1.3249938001070138,0.1648616972162073,,,,,,,,,0.7404936801477557,0.7419724770642202,1.3249938001070138,0.1648616972162073
xlm-roberta-base,IT,regression,7,42,0.7287823092904802,0.7339449541284404,1.3720327216294517,0.1239145599798535,,,,,,,,,0.7287823092904802,0.7339449541284404,1.3720327216294517,0.1239145599798535
bert-base-multilingual-cased,IT,regression,7,42,0.7155486185825551,0.7293577981651376,1.455623352145751,0.0860495896519059,,,,,,,,,0.7155486185825551,0.7293577981651376,1.455623352145751,0.0860495896519059
twitter-xlm-roberta-base,IT,regression,7,42,0.7555369867537902,0.7637614678899083,1.2847943025993058,0.21797871551425,,,,,,,,,0.7555369867537902,0.7637614678899083,1.2847943025993058,0.21797871551425
umberto-wikipedia-uncased-v1,IT,regression,7,42,0.5594412463592763,0.6869266055045872,1.4427256836768705,0.1862080469182329,,,,,,,,,0.5594412463592763,0.6869266055045872,1.4427256836768705,0.1862080469182329
gilberto-uncased-from-camembert,IT,regression,7,42,0.7525554787060744,0.7534403669724771,1.3039172604405578,0.189919539349742,,,,,,,,,0.7525554787060744,0.7534403669724771,1.3039172604405578,0.189919539349742
mdeberta-v3-base,IT,regression,7,69,0.7455150295101046,0.7557339449541285,1.308556506863086,0.2062495691170215,,,,,,,,,0.7455150295101046,0.7557339449541285,1.308556506863086,0.2062495691170215
xlm-roberta-base,IT,regression,7,69,0.7207322964558686,0.7201834862385321,1.4926804348510272,0.0248196883722664,,,,,,,,,0.7207322964558686,0.7201834862385321,1.4926804348510272,0.0248196883722664
bert-base-multilingual-cased,IT,regression,7,69,0.7173755295770242,0.7293577981651376,1.4291536269753258,0.0957171468747921,,,,,,,,,0.7173755295770242,0.7293577981651376,1.4291536269753258,0.0957171468747921
twitter-xlm-roberta-base,IT,regression,7,69,0.7505024648019779,0.7580275229357798,1.2883192947499642,0.2107461408101002,,,,,,,,,0.7505024648019779,0.7580275229357798,1.2883192947499642,0.2107461408101002
umberto-wikipedia-uncased-v1,IT,regression,7,69,0.5594412463592763,0.6869266055045872,1.4848502632454808,0.1771480668982549,,,,,,,,,0.5594412463592763,0.6869266055045872,1.4848502632454808,0.1771480668982549
gilberto-uncased-from-camembert,IT,regression,7,69,0.7357965599122781,0.7408256880733946,1.3141948898916171,0.187996916842395,,,,,,,,,0.7357965599122781,0.7408256880733946,1.3141948898916171,0.187996916842395
mdeberta-v3-base,IT,regression,7,7,0.7486726196562091,0.7580275229357798,1.3038009352525597,0.1862294964046251,,,,,,,,,0.7486726196562091,0.7580275229357798,1.3038009352525597,0.1862294964046251
xlm-roberta-base,IT,regression,7,7,0.7501466047141073,0.7580275229357798,1.3696874374643375,0.2129934441938398,,,,,,,,,0.7501466047141073,0.7580275229357798,1.3696874374643375,0.2129934441938398
bert-base-multilingual-cased,IT,regression,7,7,0.7184213112782131,0.731651376146789,1.4382759096178723,0.0758502292440447,,,,,,,,,0.7184213112782131,0.731651376146789,1.4382759096178723,0.0758502292440447
twitter-xlm-roberta-base,IT,regression,7,7,0.7635517243490559,0.768348623853211,1.3013655490916407,0.19891398525145,,,,,,,,,0.7635517243490559,0.768348623853211,1.3013655490916407,0.19891398525145
umberto-wikipedia-uncased-v1,IT,regression,7,7,0.5594412463592763,0.6869266055045872,1.485454269188217,0.1322880460026431,,,,,,,,,0.5594412463592763,0.6869266055045872,1.485454269188217,0.1322880460026431
gilberto-uncased-from-camembert,IT,regression,7,7,0.7430693653647267,0.7465596330275229,1.3290765104475464,0.1677935977429362,,,,,,,,,0.7430693653647267,0.7465596330275229,1.3290765104475464,0.1677935977429362
